Time (EET),Open,High,Low,Close,Volume 
2025.10.01 00:00:00,1.17347,1.17398,1.17347,1.17387,25.17
2025.10.01 00:05:00,1.17387,1.17397,1.17385,1.17386,18.73
2025.10.01 00:10:00,1.17392,1.17392,1.17352,1.17384,37.35
2025.10.01 00:15:00,1.17384,1.17397,1.17382,1.17384,32.22
2025.10.01 00:20:00,1.17383,1.17387,1.17371,1.17387,46.32
2025.10.01 00:25:00,1.17384,1.17396,1.1738,1.17385,16.08
2025.10.01 00:30:00,1.17384,1.17389,1.1737,1.17388,127.33
2025.10.01 00:35:00,1.17382,1.17386,1.17375,1.17379,37.8
2025.10.01 00:40:00,1.17381,1.17387,1.17369,1.17383,149.85
2025.10.01 00:45:00,1.1737,1.17383,1.17362,1.17379,177.3
2025.10.01 00:50:00,1.17378,1.17388,1.17375,1.17384,44.55
2025.10.01 00:55:00,1.17385,1.17407,1.17381,1.17389,921.66
2025.10.01 01:00:00,1.1738,1.17429,1.17344,1.17389,501.11
2025.10.01 01:05:00,1.17389,1.17391,1.17386,1.17386,27
2025.10.01 01:10:00,1.17381,1.17388,1.1737,1.17376,43.2
2025.10.01 01:15:00,1.17376,1.17379,1.1737,1.17379,207.9
2025.10.01 01:20:00,1.17377,1.17381,1.17366,1.17375,161.55
2025.10.01 01:25:00,1.17378,1.17388,1.17359,1.17359,32.62
2025.10.01 01:30:00,1.17361,1.17368,1.17351,1.17352,60.52
2025.10.01 01:35:00,1.17354,1.17354,1.17346,1.17346,91.44
2025.10.01 01:40:00,1.17346,1.17352,1.17346,1.17352,54
2025.10.01 01:45:00,1.1735,1.17351,1.17342,1.17343,49.05
2025.10.01 01:50:00,1.17342,1.17346,1.17339,1.17339,36.69
2025.10.01 01:55:00,1.17339,1.17351,1.17337,1.17346,155.28
2025.10.01 02:00:00,1.17348,1.17386,1.1734,1.17385,125.87
2025.10.01 02:05:00,1.17384,1.17426,1.17383,1.17425,247.45
2025.10.01 02:10:00,1.17426,1.1743,1.17408,1.17422,244.35
2025.10.01 02:15:00,1.17421,1.17428,1.17408,1.17413,146.7
2025.10.01 02:20:00,1.17412,1.17419,1.17399,1.17402,164.7
2025.10.01 02:25:00,1.17404,1.17408,1.17398,1.17402,102.15
2025.10.01 02:30:00,1.17401,1.17401,1.17381,1.17393,167.22
2025.10.01 02:35:00,1.17392,1.17401,1.17378,1.17378,118.26
2025.10.01 02:40:00,1.17375,1.17375,1.1736,1.17363,39.3
2025.10.01 02:45:00,1.17365,1.17377,1.17361,1.17373,133.3
2025.10.01 02:50:00,1.17373,1.17378,1.17368,1.1737,68.46
2025.10.01 02:55:00,1.1737,1.1737,1.17345,1.17347,63.57
2025.10.01 03:00:00,1.17347,1.17347,1.17305,1.17309,320.63
2025.10.01 03:05:00,1.17307,1.17322,1.17299,1.17307,131.17
2025.10.01 03:10:00,1.17305,1.17336,1.17305,1.17323,138.05
2025.10.01 03:15:00,1.17325,1.17374,1.17325,1.17365,207.49
2025.10.01 03:20:00,1.17368,1.17386,1.17362,1.1738,111.6
2025.10.01 03:25:00,1.17377,1.17378,1.17347,1.1735,123.3
2025.10.01 03:30:00,1.17348,1.17356,1.17331,1.17353,140.02
2025.10.01 03:35:00,1.17347,1.17347,1.17315,1.17317,162.09
2025.10.01 03:40:00,1.17318,1.17341,1.17312,1.17329,151.01
2025.10.01 03:45:00,1.17328,1.17355,1.17324,1.17355,103.62
2025.10.01 03:50:00,1.17359,1.17368,1.1734,1.17365,166.4
2025.10.01 03:55:00,1.17367,1.17371,1.17346,1.17361,188.32
2025.10.01 04:00:00,1.17362,1.1737,1.17334,1.17336,333.76
2025.10.01 04:05:00,1.17338,1.1734,1.17307,1.17323,271.35
2025.10.01 04:10:00,1.17322,1.17359,1.17321,1.17347,188.23
2025.10.01 04:15:00,1.17347,1.17358,1.17345,1.17358,67.74
2025.10.01 04:20:00,1.17357,1.17362,1.17346,1.1736,105.56
2025.10.01 04:25:00,1.17357,1.17385,1.17354,1.17381,104.93
2025.10.01 04:30:00,1.17381,1.17392,1.1737,1.17373,92.79
2025.10.01 04:35:00,1.17372,1.17398,1.1737,1.17391,151.09
2025.10.01 04:40:00,1.17391,1.17408,1.17388,1.17407,255.01
2025.10.01 04:45:00,1.17408,1.17409,1.17383,1.1739,106.53
2025.10.01 04:50:00,1.17392,1.17393,1.17361,1.17367,96.48
2025.10.01 04:55:00,1.17368,1.17404,1.17368,1.17394,167.46
2025.10.01 05:00:00,1.17395,1.174,1.17372,1.17376,144.07
2025.10.01 05:05:00,1.17379,1.17391,1.17349,1.17352,134.86
2025.10.01 05:10:00,1.17351,1.17352,1.17332,1.17332,129.16
2025.10.01 05:15:00,1.17334,1.17361,1.17331,1.17354,133.26
2025.10.01 05:20:00,1.17357,1.17359,1.17342,1.17346,75.91
2025.10.01 05:25:00,1.17348,1.17358,1.17337,1.17337,85.27
2025.10.01 05:30:00,1.17336,1.1735,1.17326,1.17333,145.44
2025.10.01 05:35:00,1.17334,1.17348,1.17331,1.17348,237.68
