Time (EET),Open,High,Low,Close,Volume 
2025.10.01 00:00:00,1.17325,1.17339,1.17325,1.17339,34.53
2025.10.01 00:05:00,1.17341,1.1735,1.17338,1.17343,33.6
2025.10.01 00:10:00,1.17343,1.17348,1.17328,1.17335,103.47
2025.10.01 00:15:00,1.17336,1.17369,1.17334,1.17345,120
2025.10.01 00:20:00,1.17344,1.17349,1.17341,1.17349,115.35
2025.10.01 00:25:00,1.17349,1.17349,1.17338,1.17349,20.7
2025.10.01 00:30:00,1.17349,1.17349,1.17334,1.17339,94.5
2025.10.01 00:35:00,1.17339,1.17359,1.17339,1.17359,14.55
2025.10.01 00:40:00,1.17358,1.17359,1.17358,1.17358,25.5
2025.10.01 00:45:00,1.17359,1.17359,1.17337,1.17337,392.4
2025.10.01 00:50:00,1.17349,1.17366,1.17338,1.17361,257.4
2025.10.01 00:55:00,1.17364,1.17369,1.17347,1.17361,1733.4
2025.10.01 01:00:00,1.1736,1.17421,1.17332,1.17376,560.5
2025.10.01 01:05:00,1.17375,1.17386,1.17375,1.1738,19.35
2025.10.01 01:10:00,1.17376,1.17381,1.17365,1.1737,68.04
2025.10.01 01:15:00,1.17368,1.17371,1.17362,1.17367,222.51
2025.10.01 01:20:00,1.17368,1.17371,1.1736,1.1737,155.47
2025.10.01 01:25:00,1.17376,1.17382,1.17352,1.17352,38.29
2025.10.01 01:30:00,1.17355,1.17363,1.17345,1.17346,48.57
2025.10.01 01:35:00,1.17346,1.17348,1.1734,1.17342,50.19
2025.10.01 01:40:00,1.17344,1.17345,1.17339,1.17345,81.12
2025.10.01 01:45:00,1.17345,1.17345,1.17335,1.17335,96.3
2025.10.01 01:50:00,1.17335,1.1734,1.17333,1.17333,66.15
2025.10.01 01:55:00,1.17331,1.17343,1.17329,1.1734,190.65
2025.10.01 02:00:00,1.1734,1.17383,1.17335,1.17378,91.32
2025.10.01 02:05:00,1.17378,1.1742,1.17376,1.17418,159.97
2025.10.01 02:10:00,1.1742,1.17424,1.17402,1.17414,239.36
2025.10.01 02:15:00,1.17414,1.17421,1.17404,1.17406,155.79
2025.10.01 02:20:00,1.17408,1.17414,1.17393,1.17396,186.75
2025.10.01 02:25:00,1.17397,1.17401,1.17392,1.17394,123.75
2025.10.01 02:30:00,1.17394,1.17394,1.17375,1.17385,150.57
2025.10.01 02:35:00,1.17385,1.17395,1.17372,1.17373,134.37
2025.10.01 02:40:00,1.17373,1.17373,1.17354,1.17357,80.1
2025.10.01 02:45:00,1.1736,1.17371,1.17354,1.17367,194.4
2025.10.01 02:50:00,1.17369,1.17374,1.17364,1.17368,68.4
2025.10.01 02:55:00,1.17365,1.17365,1.17341,1.17344,81.9
2025.10.01 03:00:00,1.17342,1.17342,1.173,1.17304,367.27
2025.10.01 03:05:00,1.17302,1.17318,1.17296,1.17303,158.4
2025.10.01 03:10:00,1.17301,1.17334,1.17301,1.17319,136.08
2025.10.01 03:15:00,1.17323,1.17367,1.17322,1.17361,257.91
2025.10.01 03:20:00,1.17364,1.17382,1.1736,1.17376,144.44
2025.10.01 03:25:00,1.17375,1.17375,1.17344,1.17348,130.26
2025.10.01 03:30:00,1.17344,1.17354,1.17327,1.17348,150.74
2025.10.01 03:35:00,1.17343,1.17343,1.17311,1.17313,214.55
2025.10.01 03:40:00,1.17316,1.17335,1.17308,1.17322,187.67
2025.10.01 03:45:00,1.17322,1.17351,1.17319,1.17351,109.8
2025.10.01 03:50:00,1.17355,1.17365,1.17336,1.17361,180.59
2025.10.01 03:55:00,1.17365,1.17368,1.17344,1.17357,182.76
2025.10.01 04:00:00,1.1736,1.17366,1.17331,1.17332,332.86
2025.10.01 04:05:00,1.17331,1.17336,1.17302,1.17315,260.8
2025.10.01 04:10:00,1.1732,1.17357,1.17316,1.17341,197.23
2025.10.01 04:15:00,1.17343,1.17354,1.17342,1.17351,44.88
2025.10.01 04:20:00,1.1735,1.17358,1.17341,1.17358,120.6
2025.10.01 04:25:00,1.17355,1.17384,1.17352,1.17377,99.15
2025.10.01 04:30:00,1.17379,1.1739,1.17368,1.17369,97.2
2025.10.01 04:35:00,1.17369,1.17392,1.17365,1.17386,177.53
2025.10.01 04:40:00,1.17385,1.17406,1.17383,1.17405,214.51
2025.10.01 04:45:00,1.17406,1.17406,1.17379,1.17388,119.85
2025.10.01 04:50:00,1.1739,1.1739,1.17357,1.17363,113.93
2025.10.01 04:55:00,1.17366,1.174,1.17366,1.17389,133.64
2025.10.01 05:00:00,1.17393,1.17394,1.17368,1.17373,93.38
2025.10.01 05:05:00,1.17373,1.17389,1.17346,1.1735,138.8
2025.10.01 05:10:00,1.17349,1.1735,1.17326,1.17328,132.07
2025.10.01 05:15:00,1.17327,1.17358,1.17326,1.17352,122.17
2025.10.01 05:20:00,1.17354,1.17357,1.1734,1.17344,74.32
2025.10.01 05:25:00,1.17344,1.17354,1.17335,1.17335,83.19
2025.10.01 05:30:00,1.17334,1.17348,1.17322,1.17327,139.78
2025.10.01 05:35:00,1.17329,1.17346,1.17327,1.17346,155.59
2025.10.01 05:40:00,1.17346,1.17356,1.17343,1.17351,110.72
